condition,metric,N,mean,SD,median,Q1,Q3,bootstrap_95ci_low,bootstrap_95ci_high,family,method,evaluation_mode
SHIFT_3,iou,40,0.24045721556167649,0.1442079837194099,0.22177078509880194,0.13736197139161066,0.31800739083765556,0.19880940789889642,0.28525313829051907,imperfect_guidance,PCC,
BOUNDARY_TOLERANT,dice,40,0.3503279431268577,0.17919476677667603,0.3478451521099555,0.2153998659511367,0.4726881719682231,0.2971379311391672,0.405687733036465,target_construction,,original_clean
BOUNDARY_TOLERANT,iou,40,0.22803103717307355,0.1496588622132604,0.21054067477806315,0.1207183997256933,0.30960763624377874,0.18551330204339,0.27624007865236555,target_construction,,original_clean
BOUNDARY_TOLERANT,dice,40,0.1689661671758486,0.1603758419157388,0.1047221442018543,0.03317062009977535,0.3060544519211579,0.12101594582595841,0.2206460738256715,target_construction,,same_definition
BOUNDARY_TOLERANT,iou,40,0.10108166835571382,0.10342144535228623,0.05526666117382935,0.01686929607770685,0.18067865130174807,0.07021975012699214,0.13427851216092979,target_construction,,same_definition
ERODED_CURRENT,dice,40,0.41313777866057466,0.16430606595843503,0.39027054005250694,0.2988986727904536,0.5044762940168925,0.3635553872143124,0.46484915741569005,target_construction,,original_clean
ERODED_CURRENT,iou,40,0.2748776044433563,0.14573826013302743,0.2424464863477224,0.17574383273062383,0.3373283158127194,0.23293643671755887,0.32154977825817066,target_construction,,original_clean
ERODED_CURRENT,dice,40,0.3266051839390868,0.14192240077688278,0.3152678062687197,0.21170441972362136,0.40799141739158334,0.28455418092346757,0.3718018258074674,target_construction,,same_definition
ERODED_CURRENT,iou,40,0.2040345053993759,0.10767972760736541,0.1872660158569528,0.11838337987367184,0.2562789044775903,0.1718963085495636,0.23769150461385763,target_construction,,same_definition
LARGE_CHANGE_ONLY,dice,40,0.38835483808647303,0.1737382933924834,0.3775875682249237,0.2660584180212474,0.49403043534450036,0.3356079606641686,0.44223197447992024,target_construction,,original_clean
LARGE_CHANGE_ONLY,iou,40,0.2565815752291226,0.15047694330426317,0.232732172715036,0.15344178220918722,0.3280843810411163,0.21185323026170316,0.3046515073019408,target_construction,,original_clean
LARGE_CHANGE_ONLY,dice,40,0.3841598682982995,0.17807577118120493,0.37747289345053386,0.2608990184781757,0.4941551921354561,0.3308885339081732,0.4390740965596995,target_construction,,same_definition
LARGE_CHANGE_ONLY,iou,40,0.2538994190337866,0.15240760208055415,0.23264507409912744,0.15004377444203926,0.32819280299149606,0.2104812410766944,0.3016479508030987,target_construction,,same_definition
ORIGINAL,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.33585205585243805,0.4418951030724059,target_construction,,original_clean
ORIGINAL,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.21264924201526117,0.30368144337220954,target_construction,,original_clean
ORIGINAL,dice,40,0.3884208514831534,0.1735083320190867,0.37746157603644065,0.2644963101871098,0.49369194950449413,0.3362042642018707,0.44260636864743536,target_construction,,same_definition
ORIGINAL,iou,40,0.25657411219916976,0.15010497062885392,0.2326364630461027,0.15240340790608267,0.3277877622527373,0.21279289973954532,0.3035547340197834,target_construction,,same_definition
FIXED_P0,dice,40,0.2762071661327381,0.16648155812622573,0.26824731584193473,0.1605030356699344,0.39412070110037045,0.22718335196982162,0.3283168501329602,difference_map_control,,
FIXED_P0,iou,40,0.17217822095393448,0.12831041248513567,0.15493534141934123,0.08725397321039535,0.24542442636452688,0.13491417837561218,0.21256595371464979,difference_map_control,,
