case_id,condition,method,repeats,mean_dice,worst_dice,best_dice,mean_iou,worst_iou,best_iou
PatientID_0036_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.5211108892283034,0.5211108892283034,0.5211108892283034,0.3523664387257558,0.3523664387257558,0.3523664387257558
PatientID_0036_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.3469032607811962,0.3469032607811962,0.3469032607811962,0.2098505505193641,0.2098505505193641,0.2098505505193641
PatientID_0036_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.5434199640576881,0.5280575129123893,0.5537186546119182,0.3731179911065947,0.3587487402186337,0.382856804716471
PatientID_0036_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.5459209387721503,0.5297121501759499,0.5561150258212126,0.3754823574828046,0.3602778532407129,0.3851518893614705
PatientID_0036_T1_to_T2_t1c,SHIFT_3,PCC,6,0.3768911838308402,0.368484865779188,0.3823923772617009,0.23221157255045718,0.2258543963557484,0.2363937780039822
PatientID_0037_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.3537114006059623,0.3537058216497851,0.3537337164306712,0.21485382383075446,0.2148497068823943,0.2148702916241952
PatientID_0037_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.33288515719639483,0.3328126307660909,0.3329242098896354,0.19967740055508756,0.1996252112503618,0.199705503418508
PatientID_0037_T1_to_T2_t1c,FP_25,PCC,5,0.375017434246771,0.3749895394658848,0.3750453290276571,0.23078243569918566,0.2307613080554328,0.2308035637781607
PatientID_0037_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.33686481260281276,0.3356857931973599,0.3385310608477429,0.2025484039761472,0.2016961652051204,0.2037540714011659
PatientID_0037_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.330206328405299,0.3299394683348219,0.3304415743907719,0.197752781017808,0.1975613830098954,0.1979215398115698
PatientID_0037_T1_to_T2_t1c,MIXED,PCC,30,0.35005439483179374,0.3486289715285137,0.3514184496171244,0.21216172511330186,0.2111148648781906,0.2131641286089143
PatientID_0037_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.3356300036355877,0.3356300036355877,0.3356300036355877,0.2016558844366698,0.2016558844366698,0.2016558844366698
PatientID_0037_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.3330078942322937,0.3330078942322937,0.3330078942322937,0.1997657295983975,0.1997657295983975,0.1997657295983975
PatientID_0037_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.3486010767476276,0.3486010767476276,0.3486010767476276,0.2110944072023936,0.2110944072023936,0.2110944072023936
PatientID_0037_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.3419900136776202,0.3419900136776202,0.3419900136776202,0.2062653521449869,0.2062653521449869,0.2062653521449869
PatientID_0037_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.3339005272206491,0.3339005272206491,0.3339005272206491,0.2004085186311209,0.2004085186311209,0.2004085186311209
PatientID_0037_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.3586431978666261,0.3586431978666261,0.3586431978666261,0.21850410429431,0.21850410429431,0.21850410429431
