relative_path,file_name,file_type,size_bytes,sha256,category,large_artifact,source
01_mechanism_ablation/cases/PatientID_0052_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,e90ac81c1b0d5d0e0aad3a9de9426b5f93f2a1c1940cb156a0f8a8561a718325,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0052_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3671,8657c765a1121ea1589fa672392cbe8e9cc9ddfcb1e1f4c368951b414168cd63,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0053_T1_to_T3_t1c/COMPLETE.json,COMPLETE.json,.json,146,5ae3eeebdf8b65bebaaac144988da8c579304425b7f3681f1ad5517e2c95ba8e,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0053_T1_to_T3_t1c/metrics.csv,metrics.csv,.csv,3665,ae0d77ffb805b97a591c42d5571bbb556670fe1e45cc74e833a8b6da2bed0284,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0054_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,1ed956202da59f04a522366ca2766a56386ea7f1e55692237524258e173d4b7f,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0054_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3631,069b08abbef810d53a3e5a1dd7512aa4c02d758f711ecb83fa987c68ce56d686,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0055_T1_to_T4_t1c/COMPLETE.json,COMPLETE.json,.json,146,b609b7988ad97655c843a386875ce62cc79ff365b06f67020b638cf4d634fbd7,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0055_T1_to_T4_t1c/metrics.csv,metrics.csv,.csv,3648,63241e1ae979d465dac7502af91198eecbaf35c1b29be70de5f82e2971d727ac,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0059_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,98641b978865dce5a33eb7dca327a2eb01579eb4d4e94837e08f7a9e10a72364,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0059_T1_to_T2_t1c/metrics.csv,metrics.csv,.csv,3712,1c9a1b64b4f8b6bd38ec103535e6bee7da34b8980b2e70faea52e0c2c038c8fa,01_mechanism_ablation,False,local_or_small_kaggle_output
01_mechanism_ablation/cases/PatientID_0060_T1_to_T2_t1c/COMPLETE.json,COMPLETE.json,.json,146,7cda3aee606cdeaa6343aeb16f423989f9763b9b009a46234f985661bc92ce4e,01_mechanism_ablation,False,local_or_small_kaggle_output
